Product Name,Price,Ratings
"Realme C11 (Rich Green, 32 GB)","₹7,499",4.5
"Realme C11 (Rich Grey, 32 GB)","₹7,499",4.5
"Redmi 8 (Onyx Black, 64 GB)","₹9,999",4.4
"Redmi 8 (Ruby Red, 64 GB)","₹9,999",4.4
"Motorola G8 Power Lite (Arctic Blue, 64 GB)","₹9,999",4.4
"Redmi 8 (Sapphire Blue, 64 GB)","₹9,999",4.4
"Realme 5i (Aqua Blue, 64 GB)","₹10,999",4.5
"Realme 5i (Forest Green, 64 GB)","₹10,999",4.5
"POCO M2 Pro (Two Shades of Black, 64 GB)","₹13,999",4.6
"Realme 6i (Lunar White, 64 GB)","₹12,999",4.6
"Realme 6i (Eclipse Black, 64 GB)","₹14,999",4.6
"Realme 6i (Lunar White, 64 GB)","₹14,999",4.6
"Realme 6i (Eclipse Black, 64 GB)","₹12,999",4.6
"Infinix Hot 9 Pro (Violet, 64 GB)","₹10,499",4.5
"Realme 6 (Comet Blue, 64 GB)","₹15,999",4.4
"Redmi 8 (Emerald Green, 64 GB)","₹9,999",4.4
"Infinix Hot 9 Pro (Ocean Wave, 64 GB)","₹10,499",4.5
"Realme 6 Pro (Lightning Red, 128 GB)","₹18,999",4.4
"Infinix Hot 9 (Ocean Wave, 64 GB)","₹9,499",4.6
"POCO X2 (Matrix Purple, 128 GB)","₹18,499",4.5
"Infinix Hot 9 (Violet, 64 GB)","₹9,499",4.6
"POCO X2 (Atlantis Blue, 128 GB)","₹18,499",4.5
"Realme C2 (Diamond Blue, 32 GB)","₹6,999",4.4
"Tecno Spark Power 2 (Misty Grey, 64 GB)","₹9,999",4.4
